city,country,latitude,longitude,iso_code
Al-Qasim City:Al-Qasim,Iraq,32.301389,"44.689167 ",IQ
Albufeira,Spain,37.089722,"-8.245833 ",ES
Arnhem,Burkina Faso,51.983333,"5.916667 ",BF
Becerril de Campos in the autonomous community of Castile and León:Becerril de Campos,Spain,42.108611,"-4.638889 ",ES
Belenenses II:Lisbon,Portugal,38.725267,"-9.150019 ",PT
Beograde:Belgrade,Serbia,44.817778,"20.456944 ",RS
Birmingham:Bweyogerere,Uganda,0.3525,"32.663611 ",UG
Botola:Zemamra,Morocco,32.621458,"-8.702253 ",MA
Botola Pro Inwi:Mohammedia,Morocco,33.683333,"-7.383333 ",MA
Bunschotenlso:Bunschoten,Netherlands,52.25,"5.366667 ",NL
Buzău:Vacaria,Brazil,-28.512222,"-50.933889 ",BR
Cherkassy:na,Belarus,,,BY
Cherven,Belarus,53.707778,"28.432222 ",BY
Devonshire Parish,Bermuda,32.3,"-64.758333 ",BM
Drogichin,Belarus,52.183333,"25.15 ",BY
Gwelup in Perth: Perth,Australia,-31.9559,"115.8606 ",AU
Hai Ouled Smail:Teleghma,Algeria,36.116667,"6.366667 ",DZ
Warwick Parish,Bermuda,32.266667,"-64.808333 ",BM
Hosaena,Ethiopia,7.55,"37.85 ",ET
Kant:Krasnasielski,Belarus,53.261944,"24.423611 ",BY
Karagiannia:Kozani,Greece,40.3,"21.783333 ",GR
Kerkrade:La Roda,Spain,39.206959,"-2.16038 ",ES
Kibungo:Troyes,France,48.2997,"4.0792 ",FR
Kolkata:Oranjestad,Aruba,12.518611,"-70.035833 ",AW
Kostyukovichy,Belarus,53.333333,"32.05 ",BY
Kočani,FYR Macedonia,41.916667,"22.416667 ",MK
Le Robert:na,Spain,,,ES
Linafoot:Kindu,Congo DR,-2.95,"25.95 ",CD
Pagranichnaja:nd,Belarus,,,BY
Paragominas in Pará:Paragominas,Brazil,-2.995833,"-47.352778 ",BR
Radoviš,FYR Macedonia,41.636111,"22.466667 ",MK
Saint Petersberg:Saint Petersburg,Russia,59.9375,"30.308611 ",RU
Sekolah Tinggi Ilmu Kepolisian:Jakarta,Indonesia,-6.2,"106.816667 ",ID
Sfântu Gheorghe:Otok,Croatia,45.1467,"18.8839 ",HR
Smith's Parish,Bermuda,32.315278,"-64.735 ",BM
Strassen:Veldhoven,Netherlands,51.42,"5.405 ",NL
Thongathi,South Africa,-29.493787,31.039185,ZA
Veleshtë,FYR Macedonia,41.240556,"20.643889 ",MK
Yaypan:Turkistan,Kazakhstan,43.30194,"68.269167 ",KZ
Zagreb:Ljubljana,Slovenia,46.055556,"14.508333 ",SI
no determine:Bishkek,Kyrgyzstan,42.874722,"74.612222 ",KG
the Betrideildin:Trongisvágur,Faroe Islands,61.563889,"-6.844444 ",FO
the Eerste divisie:Doetinchem,Netherlands,51.966667,"6.3 ",NL
the League of Ireland Premier Division:Drogheda,Republic of Ireland,53.715,"-6.3525 ",IE
Ñemby in the Central Department:Ñemby,Paraguay,-25.3935,"-57.5443 ",PY
Županja in Slavonia:Županja,Croatia,45.07,18.7,HR
