7920,10625571,Guaratinguetá,"Guaratinguetá Futebol Ltda., usually known simply as Guaratinguetá, was a Brazilian football club from Guaratinguetá, São Paulo state.",Guaratinguetá,Brazil
7656,10633613,Pacífico,"Club Deportivo Pacífico FC is a Peruvian football club. Based in the San Martín de Porres District, in the department of Lima, it plays in Peru's Second Division.",Lima,Peru
7506,10639504,Tauras,FK Tauras is a Lithuanian football team from the city of Tauragė.,Tauragė,Lithuania
7038,10853833,FC Sevastopol,FC Sevastopol was a Ukrainian football club based in Sevastopol. The club was a spiritual descendant of the Soviet clubs from Sevastopol such as Chaika Sevastopol.,Sevastopol,Ukraine
293,10853836,Zarya,"FC Zorya Luhansk is a Ukrainian football team. Zorya Luhansk is based in the city of Luhansk, Ukraine. However, because of the war in Eastern Ukraine, the team play their games at Slavutych-Arena in Zaporizhzhia.",no define,Ukraine
318,10853842,Ch. Odessa,"FC Chornomorets Odesa is a Ukrainian professional football club based in Odesa. The club's home ground is the 34,164 capacity Chornomorets Stadium opened in 1935 and rebuilt in 2011.",Odesa,Ukraine
8292,10860880,Athlone Town,Athlone Town Association Football Club is an Irish football club from Athlone who are playing in the League of Ireland. The club is the oldest in the League as it was founded in 1887.,Athlone,Ireland
7233,10862479,Paulista,"Paulista Futebol Clube, or Paulista as they are usually called, is a Brazilian football team from Jundiaí, in São Paulo, founded on 17 May 1909. They currently play in the Paulistão Segunda Divisão, the fourth tier of the São Paulo state league.",Jundiaí,Brazil
7873,10863204,Envigado,"Envigado Fútbol Club is a Colombian professional football team based in Envigado, that currently plays in the Categoría Primera A. They play their home games at the Estadio Polideportivo Sur.",Envigado,Colombia
8329,10869929,Slutsk,"SFC Slutsk is a Belarusian association football club based in Slutsk, Minsk Oblast.",Slutsk,Belarus
541,10869937,Neman,"FC Neman Grodno is a Belarusian football club from the city of Grodno, named after the Neman River and was founded in 1964. Since 1992, the team has participated in the top league of Belarus.",Grodno,Belarus
7765,10870924,Portuguesa São Paulo,"Associação Portuguesa de Desportos, commonly referred to as Portuguesa, is a Brazilian professional football club based in the district of Pari, São Paulo, that competes in the Campeonato Paulista Série A2, the second tier of the São Paulo state football league.",Pari,Brazil
15225,10870928,Icasa,"Associação Desportiva Recreativa e Cultural Icasa, or simply Icasa, is a Brazilian professional football club based in Juazeiro do Norte, Ceará.",Juazeiro do Norte,Brazil
7638,10871239,Bahia Salvador,"Esporte Clube Bahia, known familiarly as Bahia, is a Brazilian professional football club, based in Salvador, capital city of the Brazilian state of Bahia. They play in the Campeonato Baiano, Bahia's state league, and the Campeonato Brasileiro Série B, Brazil's second tier league.",Salvador,Brazil
8093,10886819,Real Jaen,"Real Jaén Club de Fútbol, S.A.D. is a Spanish football team based in Jaén, in the autonomous community of Andalusia. Founded in 1922 it plays in Tercera División RFEF, holding home matches at Nuevo Estadio de La Victoria, with a capacity of 12,569 spectators.",Jaén,Spain
548,10901345,Parndorf,SC-ESV Parndorf 1919 is an Austrian association football club from Parndorf. They currently play in the Austrian Regional League East.,Parndorf,Austria
6990,10911936,Oldham Athletic,"Oldham Athletic Association Football Club is a professional football club in Oldham, Lancashire, England, which competes in EFL League Two but will compete in the National League in the 2022–23 season following relegation. They play home matches at Boundary Park.",Oldham,England
7505,10914174,Locarno,"FC Locarno is a Swiss football club based in Locarno in the Italian-speaking canton of Ticino in southern Switzerland. As of the 2019–20 season, Locarno play in the Swiss sixth level, 2. Liga.",Locarno,Switzerland
7383,10915667,Angusht,"FC Angusht Nazran is a Russian association football club from Nazran, Republic of Ingushetia, Russia.",Nazran,Russia
8261,10916491,Wacker Burghausen,"SV Wacker Burghausen is a German football club based in Burghausen, Bavaria and is part of one of the nation's largest sports clubs with some 6,000 members participating in two dozen different sports.",Burghausen,Germany
7325,10917426,SønderjyskE,"SønderjyskE is a Danish sport corporation. They have a football team (SønderjyskE Fodbold, based in Haderslev), two handball teams (SønderjyskE Håndbold, one male based in Sønderborg, one female based in Aabenraa) and an ice hockey team (SønderjyskE Ishockey, based in Vojens).",Sønderborg,Denmark
7865,10951431,Wydad Fès,Wydad Athletic de Fès is a Moroccan football club currently playing in the First division.  The club was founded in 1948 and is located in the town of Fès.Wydad Athletic Club de Fès (W.A.F) were promoted from the 2nd Division in 2008–09.,Fez,Morocco
7089,10977652,Penapolense,"Clube Atlético Penapolense, commonly referred to as Penapolense, is a professional association football club based in Penápolis, São Paulo, Brazil. The team last competed in Campeonato Paulista Série A3, the third tier of the São Paulo state football league.",Penápolis,Brazil
8767,10979185,Guarani Antonio Franco,"Club Deportivo Guaraní Antonio Franco is an Argentine football club from the city of Posadas, Misiones. The team currently plays in Primera B Nacional, the second major league in Argentine Football league system. The club played at the highest level of Argentine football on 4 occasions. Guaraní A.",Posadas,Argentine
