7998,Magdeburg,Germany,Magdeburg,Magdeburg
9863,Koln II,Germany,"1. Fußball-Club Köln 01/07 e. V. II, commonly known as simply 1. FC Köln II, is a German football team based in Cologne. It is the reserve team of German association football club 1. FC Köln.",Cologne
8056,Lokomotive Leipzig,Germany,"1. Fußballclub Lokomotive Leipzig e.V. is a German football club based in the locality of Probstheida in the Südost borough of Leipzig, Saxony. The club may be more familiar to many of the country's football fans as the historic side VfB Leipzig the first national champion of Germany.",Leipzig
14511,Navad Urmia,Iran,"90 Urmia Football Club is a professional football club based in Urmia, Iran actually  playing in the second tier Azadegan League. The club was founded in 2011 and joined the Azadegan League in August of 2018, after the transfer of Gostaresh Foulad F.C. to the city of Urmia.",Urmia
10571,Trento,Italy,"A.C. Trento 1921 S.S.D. is an Italian football club, and the major club in Trento. Currently they play in Serie C Group A. In 2014 Società Sportiva Dilettantistica Trento Calcio 1921 S.r.l. went bankrupt. The sports title was transferred to A.C. Trento S.C.S.D.",Trento
22779,Kifisia FC,Greece,"A.E. Kifisia F.C. is a Greek professional football club based in Kifisia, Athens, Greece. Founded in 2012 after the merger of A.O. Kifisia and A.O.K. Elpidoforos. They compete in the Super League 2, the second tier of Greek football.",Kifisia
15075,Giugliano,Italy,"A.S.D. Giugliano Calcio 1928 is an Italian association football club based in Giugliano in Campania, in the region of Campania. The club was founded in 1928.",Giugliano
23591,Sangiuliano City Nova,Italy,"A.S.D. Sangiuliano City Nova Football Club, commonly known as Sangiuliano City or simply Sangiuliano, is an Italian association football club from San Giuliano Milanese, Lombardy.",San Giuliano Milanese
627,Aalborg,Denmark,Aalborg Boldspilklub is a Danish sports club based in the city of Aalborg. The club is also known as AaB for short (cf. logo) or Aalborg BK.,Aalborg
11371,Abahani,Bangladesh,"Abahani Limited Dhaka, also known as Abahani Krira Chakra (Bengali: আবাহনী ক্রীড়া চক্র), is a Bangladeshi professional football club based in Dhaka, that competes in the Bangladesh Premier League, the top flight of Bangladeshi Football.",Dhaka
8436,Aberystwyth Town,Wales,"Aberystwyth Town Football Club is a Welsh semi-professional football team, currently playing in the Cymru Premier, the top tier of football in Wales. They are the only top flight football club in Ceredigion.",Aberystwyth
9247,Oulu,Finland,"AC Oulu is a Finnish football club based in Oulu. Formed in 2002, the club have played two seasons in Finland's highest football league Veikkausliiga and seven seasons in the second highest league Ykkönen. The club are currently playing in Veikkausliiga.",Oulu
11415,Academia Cantolao,Peru,"Academia Deportiva Cantolao is a Peruvian football club based in the city of Callao, Peru. However, the club is mostly known for its youth academy. Their football academy is considered one of the best in Peru.",Callao
13569,Academia Puerto Cabello,Venezuela,"Academia Puerto Cabello is a Venezuelan football club based in the city of Puerto Cabello, Carabobo state and playing in the Venezuelan Primera División. It plays its home matches at the Complejo Deportivo Socialista, also known as La Bombonerita.",Puerto Cabello
16176,Adamawa United,Nigeria,"Adamawa United is a Nigerian football club from Yola, they play in the second tier of Nigeria football league system, the Nigeria National League.They play at the Ribadu Square Stadium, with a capacity of 5,000.",Yola
15034,Adamstown Rosebuds,Australia,"Adamstown Rosebud Football Club is a semi-professional soccer club based in Adamstown a suburb of Newcastle, New South Wales. The club is part of Northern NSW Football and has teams competing in Senior and Youth NPL competitions.",Newcastle
22780,AEK Athens B,Greece,"AEK Athens B Football Club is a Greek professional football club based in Nea Filadelfeia, a suburb of Athens, Greece. Founded in 2021, it is the reserve team of AEK Athens, and currently plays in Super League Greece 2, holding its home matches at the Spata Training Centre.",Nea Filadelfeia
8332,Paphos,Cyprus,"AEP Paphos was a Cypriot football club based in Paphos. The club was formed in 2000 after the merger of the two clubs of Paphos, APOP and Evagoras. AEP Paphos was dissolved on 9 June 2014, in order to be merged with AEK Kouklia and create a new team, Pafos FC.",Paphos
9501,Airdrieonians,Scotland,"Airdrieonians Football Club is a Scottish professional football team in Airdrie, North Lanarkshire, who are members of the Scottish Professional Football League (SPFL) and play in Scottish League One.",Airdrie
9467,Akropolis,Sweden,"Akropolis IF is a Swedish football club formed by Greek immigrants in 1968 in Spånga.The club is named after the Acropolis of Athens, and the Parthenon is depicted on its badge.",Stockholm
7101,Al Dhafra,United Arab Emirates,"Al Dhafra FC is a professional football club based in Madinat Zayed, United Arab Emirates. As of the 2020–21 season they play in the UAE Arabian Gulf League. Their futsal club participated in AFC Futsal Club Championship.",Madinat Zayed
7037,Al Hilal Riyadh,Saudi Arabia,"Al Hilal Saudi Football Club, or simply Al Hilal, is a professional multi-sports club based in Riyadh, Saudi Arabia. The football team competes in the Saudi Professional League. They are the most decorated club in Asia winning 64 official trophies.",Riyadh
8926,Al-Masry,Egypt,"Al Masry Sporting Club, is an Egyptian sports club based in Port Said, Egypt. The club is mainly known for its professional football team, which currently plays in the Egyptian Premier League, the highest league in the Egyptian football league system.",Port Said
22310,Al Rams,United Arab Emirates,"Al Rams Club is a professional football club located in Rams suburb of Ras Al Khaimah, United Arab Emirates. They currently play in the UAE First Division League.",Ras Al Khaimah
7686,Al-Ahli Jeddah,Saudi Arabia,"Al-Ahli Saudi Football Club is a Saudi Arabian professional football club based in Jeddah, that competes in the Saudi Pro League, the top flight of football. The club was founded in 1937.",Jeddah
13236,Al-Ahli Benghazi,Libya,"Al-Ahly Sports Cultural &amp; Social Club known as Al-Ahly SCSC is a Libyan Sports club based in Benghazi, Libya. Al-Ahly SC has its roots in a political party, the Omar al Mukhtar society.",Benghazi
9592,Al Arabi,Qatar,"Al-Arabi Sports Club is a Qatari sports club based in Doha. Founded in 1952, the most prominent team of the club is the football team that competes in the Qatar Stars League. The club's home ground is the 13,000-seat Grand Hamad Stadium, where they have played since their establishment.",Doha
12822,Al Hussein,Jordan,"Al-Hussein SC (Arabic: الحسين إربد) is a professional football club based in Irbid which competes in the Jordanian Pro League. Al-Hussein (Irbid) participated in the 2005 AFC Cup, winning its group.",Irbid
13238,Al-Ittihad Tripoli,Libya,"Al-Ittihad Sport, Cultural &amp; Social Club famously known as Al-Ittihad Tripoli, or simply Al-Ittihad, is a Libyan football club based in Bab Ben Gashier, Tripoli, Libya. They have won the Libyan Premier League 18 times, the Libyan Cup 7 times and the Libyan SuperCup 10 times.",Bab Ben Gashier
14415,Al Jabalain,Saudi Arabia,"Al-Jabalain Football Club is a professional football club based in Ha'il, Saudi Arabia, that plays in the Prince Mohammad bin Salman League, the second tier of Saudi football. It was founded in 1959.",Ha'il
20081,Al Jalil,Jordan,"Al-Jalil Club is a football club based in Irbid, Jordan, which competes in the Jordan League. This club is formed by a Palestinian refugee camp in Irbid called Irbid camp,Al-Jalil named after an Arab village in Palestine.",Irbid
13101,Al-Kawkab,Saudi Arabia,"Al-Kawkab Football Club is a Saudi Arabian professional football club based in Al Kharj, that plays in the Prince Mohammad bin Salman League, the second tier of Saudi football. It was founded in 1968.Al-Kawkab have won Saudi First Division once and finished runners-up once.",Al Kharj
8517,Al Khor,Qatar,"Al-Khor Sports Club is a Qatari professional sports club based in Al Khor, featuring teams in a number of sports including football, futsal, basketball, volleyball, handball, athletics, table tennis and swimming. It is best known for its football team which competes in the Qatar Stars League.",Al Khor
8373,Al Minaa,Iraq,"Al-Minaa Sports Club is an Iraqi multi-sport club based in Al-Maqal, Basra that participates in the Iraqi Premier League, the top-flight of Iraqi football.",Al-Maqal
12855,Al-Nahda,Oman,"Al-Nahda Club is an Omani sports club based in Al-Buraimi, Oman. The club is currently playing in the Oman Professional League, top division of Oman Football Association. Their home ground is Al-Buraimi Sports Complex.",Al-Buraimi
13102,Al-Nojoom,Saudi Arabia,"Al-Nojoom FC is a Saudi Arabian professional sports club based in Al-Hasa, they play their home games in Prince Abdullah bin Jalawi Stadium.",Al-Hasa
13096,Al Orubah,United Arab Emirates,"Al-Orobah Football Club is a Saudi Arabian professional football club based in Sakakah, that competes in the second tier of Saudi football, the Prince Mohammad bin Salman League.",Sakakah
9055,Al Sailiya,Qatar,Al-Sailiya Sports Club is a Qatari professional football club currently competing in the Qatar Stars League. They are based in Doha and play their home games at Ahmed bin Ali Stadium.,Doha
13280,Al Semawah,Iraq,"Al-Samawa SC, is an Iraqi sports club based in As-Samawa, Al-Muthanna, Iraq, which plays in the Iraq Division One, the second tier of the Iraqi football. The club's home stadium is As Samawah Stadium.",As-Samawa
13235,Al-Tahaddi,Libya,"Al-Tahaddi Sports Club is a Libyan football club based in Benghazi. They are a member of the top division in Libyan football, but were relegated in season 2007/08.  Their home stadium is March 28 Stadium.",Benghazi
13097,Al-Tai,Saudi Arabia,"Al-Tai Football Club is a professional football club based in Ha'il, Saudi Arabia, that plays in the Saudi Professional League, the top tier of Saudi football. It was founded in 1961.",Ha'il
13111,Wathbah,Syria,"Al-Wathba Sport Club is a Syrian professional football club based in Homs, that competes in the Syrian Premier League.",Homs
9031,Al-Wehdat,Jordan,"Al-Wehdat Sport Club is a Jordanian sport club founded in 1956. The club is based in and represents the Amman New Camp, a Palestinian refugee camp which is also known as Al-Wehdat. Al-Wehdat's home games are played at King Abdullah II Stadium (cap. 13,265)."," Amman"
13701,Albion Montevideo,Uruguay,"Albion Football Club is a Uruguayan football club located in Montevideo that currently plays in the Uruguayan Primera División, the highest division of the Uruguayan football league system.",Montevideo
6985,Aldershot Town,England,"Aldershot Town Football Club is a professional association football club based in Aldershot, Hampshire, England. The team competes in the National League, the fifth tier of the English football league system.",Aldershot
10792,Alianza San Salvador,El Salvador,"Alianza Fútbol Club, also known simply as Alianza, is a football club based in San Salvador, El Salvador. Founded in 1958, Alianza was almost immediately successful, winning its first championships in the 1966 and 1967 Salvadoran seasons.",San Salvador
11569,Altona 93,Germany,"Altonaer FC von 1893, commonly known as Altona 93 and abbreviated to AFC, is a German association football club based in the Altona district of the city of Hamburg. The football team is a department of a larger sports club which also offers handball, karate, table tennis, and volleyball.",Hamburg
9619,América de Cali,Colombia,"América de Cali S. A., best known as América de Cali or América, is a Colombian professional football club based in Cali. It competes in the Categoría Primera A, the top-flight league of Colombian football.",Cali
13631,Ansan Greeners,Korea Republic,Ansan Greeners FC is South Korean professional football club based in Ansan which plays in the K League 2 (second division).,Ansan
12669,Shirak II,Armenia,"Aragats Gyumri FC, is a defunct Armenian football club from Gyumri, Shirak Province. Aragats FC was founded in 1967 as the reserves club of FC Shirak. In 1973, the club was renamed Aragats Leninakan FC. However, the club was dissolved in 2002 due to financial difficulties.",Gyumri
9358,Aris Limassol,Cyprus,"Aris Limassol is a Greek Cypriot football club based in Limassol and one of the founder members of Cyprus Football Association. The club's colours are green, black and white, and their home is the Tsirion Stadium.",Limassol
15681,Jalapa,Nicaragua,"ART Municipal Jalapa is a Nicaraguan football team playing at the top level. It is based in Jalapa. They currently play in the Primera División, playing their home matches at the 1,000 Estadio Alejandro Ramos.",Jalapa
7187,Atlético Rafaela,Argentina,"Asociación Mutual Social y Deportiva Atlético de Rafaela usually known simply as Atlético de Rafaela is an Argentine sports club from the city of Rafaela, in Santa Fe Province.",Rafaela
7144,Astra Giurgiu,Romania,"Asociația Fotbal Club Astra Giurgiu, commonly known as Astra Giurgiu or simply Astra, is a Romanian football club based in the city of Giurgiu, Giurgiu County, which competes in the Liga II.",Giurgiu
7614,Chindia Târgovişte,Romania,"Asociația Fotbal Club Chindia Târgoviște, commonly known as Chindia Târgoviște or simply Chindia, is a Romanian professional football club based in Târgoviște, Dâmbovița County, which competes in the Liga I.",Târgoviște
