city,country,latitude,longitude,iso_code
Majees,Oman,24.342,"56.729889 ",OM
Makamba:Bel Air,Haiti,"18.55 ","-72.333333 ",HT
Marano Vicentino and Valdagn,Italy,45.7,11.433333,IT
MariehamnAland:Mariehamn,Finland,60.1,"19.933333 ",FI
Mirbiḥ,United Arab Emirates,25.280556,"56.364167 ",AE
Moeskron,Belgium,50.733333,"3.216667 ",BE
Métlaoui in Tunisia:Métlaoui,Tunisia,34.333333,"8.4 ",TN
Norrköpingffiliated:Norrköping,Sweden,58.6,"16.2 ",SE
Notsé:Ånge,Sweden,62.516667,"15.616667 ",SE
Pasir Gudang,Malaysia,1.502778,"103.935556 ",MY
Payas near Hatay:Payas,Turkey,36.75,"36.216667 ",TR
Pembroke Parish,Bermuda,32.297222,-64.780556,BM
Paramaribo,Suriname,5.852222,"-55.203889 ",SR
Pocheon,Korea Republic,37.894736,"127.200172 ",KR
Porto-Novo,Benin,6.497222,"2.605 ",BJ
Puerto Plata:Lauro de Freitas,Brazil,"-12.893889 ","-38.326944 ",BR
Qism Damanhour:Damanhur,Egypt,31.036111,"30.469444 ",EG
Quezaltenango,Guatemala,14.833333,"-91.516667 ",GT
Regionuli Liga:Ozurgeti,Georgia,41.926944,"42.000556 ",GE
San Vicente de Alcántara in the autonomous community of Extremadura:San Vicente de Alcántara,Spain,39.361111,"-7.133333 ",ES
Santa Maria da Feira,Portugal,40.933333,"-8.533333 ",PT
Santa María de Grixoa,Spain,42.9479,-8.5474,ES
St. Andrew's,Malta,35.924069,"14.453372 ",MT
St. Antão Victory,Brazil,-8.126389,"-35.3075 ",BR
St. Gallen,Switzerland,47.424167,"9.370833 ",CH
Stolbtsy,Belarus,53.483333,"26.733333 ",BY
Strömsbergbruk:Strömsberg,Sweden,60.400278,17.586111,SE
Tipperary Town:Tipperary,Austria,52.474,"-8.162 ",AT
Tortoli Zona Fra Locci:Tortolì,Italy,39.933333,"9.65 ",IT
Verbandsliga Baden:Mosbach,Germany,49.352222,"9.146667 ",DE
Vila Belmiro:Santos,Brazil,-23.936944,"-46.325 ",BR
Agios Tychon,Cyprus,34.726111,"33.140556 ",CY
Al Ittehad:Salalah,Oman,17.019722,"54.089722 ",OM
Al-Gadarf:Al Qadarif,Sudan,14.033333,"35.383333 ",SD
Alicante:Oulu,Finland,65.014167,"25.471944 ",FI
Aveirolso:Anadia,Portugal,40.440833,"-8.435 ",PT
Bab Ben Gashier:Tripoli,Libya,32.887222,"13.191389 ",LY
Bandar Seri Begawan,Brunei,4.890278,"114.942222 ",BN
Becerril de Campos in the autonomous community of Castile and León:Becerril de Campos,Spain,42.108611,"-4.638889 ",ES
Biak Numfor Regency,Indonesia,-1.1695,"136.087333 ",ID
Botola:Zemamra,Morocco,32.621458,"-8.702253 ",MA
Brandenburg an der Have,Germany,52.416667,"12.533333 ",DE
Brisbane:Malmö,Sweden,"55.605833 ","13.035833 ",SE
Briton Ferr,Wales,51.637,"-3.821 ",GB
Carev Dvor near Resen:Carev Dvor,FYR Macedonia,41.05,21,MK
Castellón de la Plana,Italy,39.983056,"-0.033056 ",IT
Chist,Belarus,54.268333,"27.108889 ",BY
Dorood,Iran,33.498611,"49.053889 ",IR
Ebersbach-Neugersdorf in the Upper Lusatia (German:Oberlausitz) region of Saxony:Ebersbach-Neugersdorf,Germany,51,"14.6 ",DE
El-Obeidctive:El-Obeid,Sudan,13.183333,"30.216667 ",SD
Erandio in Biscay:Erandio,Spain,43.304722,"-2.973056 ",ES
Falastin Street:Bagdad,Iraq,33.333333,"44.383333 ",IQ
Gamma Ethniki:Evosmos,Greece,40.668889,"22.908333 ",GR
Goyang,Korea Republic,37.56,"126.99 ",KR
Ydrenewydd:Newtown,Wales,52.5132,"-3.3141 ",GB
Yongin,Korea Republic,37.233333,"127.2 ",KR
Zagrebct:Zagreb,Croatia,45.816667,"15.983333 ",HR
Zonguldaklso:Zonguldak,Turkey,41.456389,"31.798611 ",TR
deriksberg:Frederiksberg,Denmark,55.666667,"12.533333 ",DK
no define:nd,Ukraine,,,UA
no determinate:nd,Ukraine,,,UA
the Betrideildin:Tvøroyri,Faroe Islands,61.555833,"-6.803333 ",FO
the Eerste divisie: Doetinchem,Netherlands,51.966667,"6.3 ",NL
the League of Ireland Premier Division:Drogheda,Republic of Ireland,53.715,"-6.3525 ",IE
the city Odense:Odense,Denmark,55.395833,"10.388611 ",DK
the village of Xylotymbou:Xylotymbou,Cyprus,35.016667,"33.75 ",CY
Ǵorče Petrov:Skopje,FYR Macedonia,42,"21.433333 ",MK
Harstad in North,Norway,68.8011,"16.5441 ",NO
Hauppauge:Baku,Azerbaijan,40.395278,"49.882222 ",AZ
Icheon City:Icheon,Korea Republic,37.266667,"127.433333 ",KR
Ivatsevichi,Belarus,52.716667,"25.333333 ",BY
Jeddah,Saudi Arabia,21.543333,"39.172778 ",SA
Jeløya in Moss:Jeløya,Norway,59.45,"10.633333 ",NO
Khor Fakkan,United Arab Emirates,25.333333,"56.35 ",AE
Kolkhozabad:Balkh,Tajikistan,37.589444,"68.660833 ",TJ
Lauderhill:Skien,Norway,59.208056,"9.552778 ",NO
Laval in western France,France,48.0733,"-0.7689 ",FR
Wels,Austria,48.15,"14.016667 ",AT
Totness,Suriname,5.8775,"-56.329167 ",SR
Mafeteng,Lesotho,-29.816667,"27.25 ",LS
Ciudad de Florida:Montevideo,Uruguay,-34.883611,"-56.181944 ",UY
Bangkok,Thailand,13.7525,"100.494167 ",TH
