teams_ids,team,country,tm_data,city
,Fortuna Becicherecu Mic,Romania,,
,Concordia Chiajna II,Romania,,
10398,Flacara,Romania,"Club Sportiv Municipal Flacăra Moreni,, commonly known as Flacăra Moreni or simply as Flacăra, is a Romanian football club based in Moreni, Dâmbovița County."," Romanian football club based in Moreni"
16570,Phrae United,Thailand,Phrae United Football Club is a Thai semi-professional football club based in Phrae Province. They currently play in Thai League 2.," Thai semi-professional football club based in Phrae Province"
16569,Nakhon Pathom,Thailand,"Nakhon Pathom United Football Club, formerly known as Nakhon Pathom Football Club (Thai: สโมสรฟุตบอลจังหวัดนครปฐม), is a Thailand professional football club based in Nakhon Pathom province and currently play in Thai League 2. Their home stadium is Nakhon Pathom Municipality Sport School Stadium."," Thailand professional football club based in Nakhon Pathom province and currently play in Thai League 2"
,Urania Baška Voda,Croatia,,
9703,"Dungannon ",Northern Ireland,"Dungannon Swifts Football Club is a Northern Irish, semi-professional football club playing in the NIFL Premiership. The club, founded in 1949, has risen from the Mid-Ulster league to the top tier in Northern Ireland since its election to the Irish League First Division in 1997."," Northern Irish"
,Avilés Stadium,Spain,,
20297,Benicarlo,Spain,,
,APONA Anagias,Cyprus,,
13500,Real Kings,South Africa,"Royal AM is a South African football club based in Durban, KwaZulu Natal that plays in the PSL. They play in DSTV Premiership after purchasing a license from Bloemfontein Celtic in August 2021 by Durban business woman Shauwn Mkhize &amp; her son Andile Mpisane."," South African football club based in Durban"
,Lobon,Spain,,
18801,Arberia,Republic of Kosovo,"Klub Futbollistik Arbëria, commonly known as Arbëria, is a professional football club based in village Dobrajë e Madhe of Lipljan, Kosovo. The club play in the Football Superleague of Kosovo, which is the top tier of football in the country."," professional football club based in village Dobrajë e Madhe of Lipljan"
,O Kormakitis,Cyprus,,
18559,Ihefu,Tanzania,,
23197,Chinato,Spain,"Club Polideportivo Chinato is a Spanish football team based in Malpartida de Plasencia, in the autonomous community of Extremadura. Founded in 1969, it plays in Primera División Extremeña – Group 1, holding home games at Campo de Fútbol Eras de las Matas, with a 1,000-seat capacity."," Spanish football team based in Malpartida de Plasencia"
,Valls,Spain,,
19778,Hilal Alsahil,Sudan,"Hilal Alsahil Sports Club is a Sudanese football club founded in 1937 in Port Sudan. They played in the top division in Sudanese football, Sudan Premier League. Their home stadium is Stade Port Sudan.",
,Mazarrón FC,Spain,,
,Tihad Casablanca,Morocco,,
18857,União Almeirim,Portugal,,
,Atlético Tacoronte,Spain,,
10216,Leca,Portugal,"Leça Futebol Clube, better known as Leça FC or simply Leça, is a Portuguese football club located in the town of Leça da Palmeira, Matosinhos. Founded in 1912, it had a spell in the top-flight Primeira Liga between 1995 and 1998, when it was relegated for financial irregularities."," Portuguese football club located in the town of Leça da Palmeira"
14156,Swieqi United,Malta,"Swieqi United Football Club is a Maltese football and futsal club representing the municipality of Swieqi. The club was created by a group of University Students and Swieqi residents. Founded in 2009, the club enjoys a good fan-base especially amongst young people on the island.",
,Kolos Kovalivka U21,Ukraine,,
,Zorya U21,Ukraine,,
,Abu Salim,Libya,,
,Campanario,Spain,,
10199,Lusitano Evora,Portugal,"Lusitano Ginásio Clube, MHC, also commonly known as Lusitano de Évora (abbrev. Lusit. Évora), is a Portuguese sports club based in Évora competing in the Evora FA, first tier regional league."," Portuguese sports club based in Évora competing in the Evora FA"
13049,Oleiros,Portugal,,
,Brito,Portugal,,
19398,Pretoria Callies,South Africa,,
13706,Steenberg United,South Africa,,
15828,Condeixa,Portugal,,
11386,Sai Gon,Vietnam,Saigon Football Club is a Vietnamese professional association football club administered by Saigon Football Development Joint Stock Company. The club's name was set as a result of a club known as Hà Nội got renamed and relocated in 2016 to Ho Chi Minh City.,
12808,Sirens,Malta,"Sirens Football Club is a professional football club from the north-western seaside village of San Pawl il-Baħar in Malta. Founded in 1968, they currently compete in the Maltese Premier League."," professional football club from the north-western seaside village of San Pawl il-Baħar in Malta"
14371,Cape Umoya United,South Africa,"Cape Umoya United Football Club was a South African football club based in Cape Town, South Africa. They were established in 2018 following the takeover of defunct, former PSL team, Platinum Stars F.C.",
19969,Paterna,Spain,"Peterna Club de Fútbol is a Spanish football team based in Paterna, in the autonomous community of Valencian Community. Founded in 1934, it plays in Regional Preferente, holding home matches at Estadio Municipal Gerardo Salvador."," Spanish football team based in Paterna"
15883,JDR Stars,South Africa,"JDR Stars is a South African football club based in Pretoria formed in 2011. The club plays in the National First Division. The club is owned by Nditsheni Nemasisi, who is an Attorney."," South African football club based in Pretoria formed in 2011n Attorney"
,Cittanovese,Italy,,
,TN Stars,Malawi,,
10438,Safa,Lebanon,"Safa Sporting Club is a football club based in Wata El Msaytbeh, a district in Beirut, Lebanon, that competes in the Lebanese Premier League. Founded in 1939, they won three league titles, three domestic cups, one Super Cup, and two Elite Cups; they have also reached the 2008 AFC Cup final."," football club based in Wata El Msaytbeh"
18818,MAFCO,Malawi,"Malawi Armed Forces College FC is a Malawian football (soccer) club based in Salima, Central Region and currently playing in the TNM Super League, the top division of Malawian football."," Malawian football (soccer) club based in Salima"
19397,Bizana Pondo Chiefs,South Africa,,
16206,Al Bataeh,United Arab Emirates,"Al Bataeh Club is a football club from Al Bataeh, Sharjah, United Arab Emirates. The team joined the UAE football league in 2019–20 season."," football club from Al Bataeh"
,Rejiche,Tunisia,,
,Ouagadougou,Burkina Faso,,
,Ekwendeni Hammers,Malawi,,
,Oriku,Albania,,
,Valbona,Albania,,
,Elpida Astromeritis,Cyprus,,
,Olympique de Beja,Tunisia,,
14095,Kariana,Bulgaria,"FC Kariana Erden is a Bulgarian football club based in Erden, that plays in A Regional League, the 4th level of Bulgarian football."," Bulgarian football club based in Erden"
13203,Olympique Dcheira,Morocco,Olympic Dcheira is a Moroccan football club based in Dcheira El Jihadia currently playing in the Botola 2. The club was founded in 1940.," Moroccan football club based in Dcheira El Jihadia currently playing in the Botola 2"
12900,Al Ansar,Lebanon,"Al Ansar Football Club is a football club based in Tariq El Jdideh, a district in Beirut, Lebanon, that competes in the Lebanese Premier League. Formed in 1951, the club did not win its first Lebanese Premier League until 1988."," football club based in Tariq El Jdideh"
,Bidezarra,Spain,,
12678,Ibar,Montenegro,"FK Ibar is a football club from Rožaje, Montenegro. They currently compete in the Montenegrin Third League. FK Ibar is a part of the Ibar sport society from Rožaje. The club is named after the river Ibar, longest river from Montenegro, which originates in Rožaje."," football club from Rožaje"
14732,Bragantino PA,Brazil,,
,Baré,Brazil,,
19881,Crevillente,Spain,,
,Santoba,Guinea,,
,Taksony,Hungary,,
18294,Pápai Perutz,Hungary,"Pápai Perutz Futball Club is a professional football club based in Pápa, Hungary, that competes in the Nemzeti Bajnokság III, the third tier of Hungarian football."," professional football club based in Pápa"
10281,Spartak Plovdiv,Bulgaria,"PFC Spartak Plovdiv is a Bulgarian football club based in Plovdiv, which currently plays in the third tier of Bulgarian football, the Third League. The club was established in 1947 and folded its senior team in 2016, before being 'refounded' in 2017."," Bulgarian football club based in Plovdiv"
,Spansko Zagreb,Croatia,,
,Imperatriz,Brazil,,
,Agri 1970 Spor,Turkey,,
18797,Meppen (W),Germany,,
,Steaua Bucuresti II,Romania,,
13357,ASFB,Burkina Faso,,
13365,SONABEL,Burkina Faso,Association sportive de la SONABEL is a Burkinabé football club based in Ouagadougou and founded in 1990. They play their home games at the Stade de la SONABEL.," Burkinabé football club based in Ouagadougou and founded in 1990"
,Velbazhd,Bulgaria,,
15055,FICA,Haiti,,
,SV Zeilsheim,Germany,,
,Leopard St.Camille,Burkina Faso,,
,Wettswil-Bonstetten,Switzerland,,
