teams_ids,team,country,tm_data,city
,RSV Eintracht 1949,Germany,,Stahnsdorf
,TuS Mechtersheim,Germany,,Mechtersheim
20699,Hoeganaes,Sweden,Höganäs BK is a Swedish football club located in Höganäs in Skåne County.,Höganäs
21699,Raagsveds,Sweden,,Hagsätra
,Fussach,Austria,,Fußach
18201,Mils,Austria,,Mils
23676,Münster,Austria,,Münster
,HHC Hardenberg,Netherlands,,Hardenberg
21316,Herlev IF,Denmark,"Herlev Idrætsforening – Fodbold is a Danish football club located in the northwestern Copenhagen suburb, Herlev. The club's senior team participates in the Denmark Series and is member of the local association DBU Zealand under the Danish Football Association (DBU).",Copenhagen
12952,USV Hercules,Netherlands,,Utrecht
,GOES,Netherlands,,Deventer
,Union de Touarga,Morocco,,Rabat
21706,Frederikssund IK,Denmark,"Frederikssund IK is a Danish football club currently playing in the Denmark Series. They play at Frederikssund Stadion in Frederikssund on Zealand, which has a capacity of 1,200.",Frederikssund
,ASA Aarhus,Denmark,,Århus
,Asenovets,Bulgaria,,Asenovgrad
,SV 09 Arnstadt,Germany,,Arnstadt
18405,Sloga Pozega,Serbia,,Požega
,Takovo,Serbia,,Gornji Milanovac
7135,Sloboda Užice,Serbia,"Fudbalski klub Sloboda Užice is a Serbian professional football club from Užice. They are currently playing in the Serbian First League, the second tier of Serbian football.",Užice
18245,Ahlafors,Sweden,"Ahlafors IF is a Swedish football club located in Nödinge-Nol in Ale Municipality, Västra Götaland County.",Nödinge-Nol
20706,Bergnasets,Sweden,"Bergnäsets AIK is a Swedish football club located in Luleå in Norrbotten County. Their home colours are green and black, and when they play away, they wear red.",Luleå
,Admira Villach,Austria,,Villach
18207,Kematen,Austria,,Kematen
,Dellach/Gail,Austria,,Dellach/Gail
,St. Michael Bleiburg,Austria,,"    Sankt Michael ob Bleiburg"
18203,Kundl,Austria,,Kundl
,Rudar Kakanj,Bosnia-Herzegovina,,Kakanj
,Buducnost Banovici,Bosnia-Herzegovina,,Banovići
18884,Igman Konjic,Bosnia-Herzegovina,,Konjic
,NK Bratstvo,Bosnia-Herzegovina,,Gračanica
10033,Sigma Olomouc II,Czech Republic,,Olomouc
13297,Viktoria Otrokovice,Czech Republic,"FC Viktoria Otrokovice is a Czech football club located in Otrokovice in the Zlín Region. It currently plays in the Moravian–Silesian Football League, which is the third tier of Czech football.",Otrokovice
14277,Uhersky Brod,Czech Republic,"ČSK Uherský Brod is a Czech football club located in Uherský Brod. It currently plays in the Moravian–Silesian Football League.In the 1994–95 season, the club played in the Czech 2. Liga, finishing 15th of 18 teams and being relegated in its only season at such a level.",Uherský Brod
14278,Unicov,Czech Republic,"SK Uničov is a Czech football club located in Uničov, Czech Republic. It currently plays in the Moravian–Silesian Football League, which is the third tier of Czech football.",Uničov
,Velke Mezirici,Czech Republic,,Velké Meziříčí
9732,Staphorst,Netherlands,"Voetbalvereniging Staphorst is a football club from Staphorst, Netherlands. VV Staphorst plays in the 2017–18 Saturday Hoofdklasse.",Staphorst
13879,Harkemase Boys,Netherlands,"Harkemase Boys is a football club from Harkema, Netherlands. The club plays in the Derde Divisie since 2016, when it won a section championship in the Hoofdklasse.",Harkema
,Melbourne Knights,Australia,,Melbourne
11211,Katwijk,Netherlands,"Voetbal Vereniging Katwijk is a Dutch football team founded in 1939, based in Katwijk, currently competing in the Dutch Tweede Divisie.",Katwijk
9543,Union Gurten,Austria,,Gurten
12677,Igalo,Montenegro,,Igalo
,OFK Mladost DG,Montenegro,,Podgorica
19190,Yafoot,Cameroon,,Yaoundé
14944,Tonnerre Kalara,Cameroon,"Tonnerre Kalara Club of Yaoundé is a football club based in Yaoundé, Cameroon. The club was most prominent during the 1980s, winning all of their 5 national championships. They have also won the national cup 5 times.",Yaoundé
13648,Feutcheu,Cameroon,,Bandjoun
12948,Ajax Amateurs,Netherlands,"AFC Ajax Amateurs or Ajax Zaterdag  (English: Ajax Saturday) is a Dutch amateur football club and the amateur team of the professional club AFC Ajax from Amsterdam. They compete in the Derde Divisie since 2019–20, playing their home matches at the Sportpark De Toekomst training grounds.",Amsterdam
18794,Sportlust '46,Netherlands,"Zaterdag Sportvereniging Sportlust '46, more commonly known as ZSV Sportlust '46 or simply Sportlust '46 (Dutch pronunciation: [ˈspɔrtlʏst ˈzɛsənˌveːrtəx]), is a Dutch football club based in Woerden, Utrecht. It currently plays in the Derde Divisie, the fourth tier of Dutch football.",Woerden
10972,Oborishte,Bulgaria,,Panagyurishte
14358,Notwane,Botswana,,Gaborone
14360,Highlanders,Botswana,"Mahalapye Railway Highlanders are a football club in the Botswana Premier League who play home games in Molepolole, but are based out of Mahalapye.",Molepolole
22899,Masitoaka,Botswana,,Gaborone
12965,Botswana Defence Force XI,Botswana,"Botswana Defence Force XI Football Club is a football club from Botswana based in Mogoditshane and playing home games in Gaborone. It is the club of the Botswana Defence Force, being composed mostly of military players. As of 2007, players were eligible to play for the club once they become cadets.",Gaborone
22901,Sua Flamingoes,Botswana,,Sowa
18231,Biashara Mara United,Tanzania,,Musoma
19833,Radnicki Beograd,Serbia,"FK Radnički Beograd is a Serbian football club based in New Belgrade. The club is often referred to as FK Radnički Novi Beograd, although the club is officially named simply as FK Radnički Beograd because it was initially formed in Belgrade proper, and only later moved to New Belgrade area.",New Belgrade
11401,Brodd,Norway,,Stavanger
16006,Wiliete,Angola,"Wiliete Sport Clube is an Angolan sports club from the city of Benguela, in the namesake province. In 2019, the team qualified to the Gira Angola, the qualifying tournament for Angola's top division, the Girabola.",Benguela
,Insieme Formia,Italy,,Formia
,Atletico Uri,Italy,,Uri
,Ghivizzano Borgoamozzano,Italy,,"    Bagni di Lucca"
,Virtus Matino,Italy,,Matino
,Lamezia Terme,Italy,,Lamezia Terme
,KKS 1925 Kalisz,Poland,,Kalisz
10053,Wisla Pulawy,Poland,,Puławy
18558,Geita Gold,Tanzania,,Geita
14354,Ballkani,Republic of Kosovo,"Football Club Ballkani, commonly known as Ballkani, is a professional football club based in Suharekë, Kosovo. The club play in the Football Superleague of Kosovo, which is the top tier of football in the country.",Suharekë
,Mariglianese,Italy,,Marigliano
,Rain am Lech,Germany,,Rain am Lech
12396,Nafta,Slovenia,"Nogometni klub Nafta Lendava, commonly referred to as NK Nafta Lendava or simply Nafta, was a Slovenian football club which played in the town of Lendava. The club was founded under the Hungarian name Lendvai Football Egyesület in 1903.",Lendava
20568,Friesdorf,Germany,,Bonn
18636,Yantra,Bulgaria,"FC Yantra is a Bulgarian football club based in Gabrovo, which plays in Second League, the second tier of Bulgarian football. The club was originally founded in 1919 and home matches are played at Stadion Hristo Botev. Its home stadium has a capacity of 14 000 seats.",Gabrovo
,Bad Schallerbach,Austria,,Bad Schallerbach
18569,Ried II,Austria,,"    Ried im Innkreis"
21673,FC Rohoznik,Slovakia,"FC Rohožník is a Slovak football team, based in the town of Rohožník.  It currently plays in Slovak 2. liga, the second tier of Slovak football.",Rohožník
10562,Slavoj Trebisov,Slovakia,,Trebišov
,Lansing City,USA,,Lansing
,Al-Qasim,Iraq,,Al-Qasim City
